Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1673.9839872860641
FDW14,OUT017,1349.5129043321301
NCN55,OUT010,471.3068466911763
FDQ58,OUT017,2432.6625807321775
FDY38,OUT027,5041.821497446809
FDH56,OUT046,1892.0661445161295
FDL48,OUT018,790.3307954098362
FDC48,OUT027,2846.4008225165553
FDN33,OUT045,1559.9736407643313
FDA36,OUT017,3190.643467582416
FDT44,OUT017,1892.0661445161295
FDQ56,OUT045,1349.5129043321301
NCC54,OUT019,471.3068466911763
FDU11,OUT049,2006.4707423197485
DRL59,OUT013,790.3307954098362
FDM24,OUT049,2432.6625807321775
FDI57,OUT045,3011.5252991596626
DRC12,OUT018,3011.5252991596626
NCM42,OUT027,2846.4008225165553
FDA46,OUT010,471.3068466911763
FDA31,OUT013,2843.569789215686
NCJ31,OUT035,3549.850947508307
FDG52,OUT046,790.3307954098362
NCL19,OUT019,207.13050352504638
FDS10,OUT035,3190.643467582416
FDX22,OUT010,471.3068466911763
NCF19,OUT035,790.3307954098362
NCE06,OUT046,2633.839843902438
DRC27,OUT046,3805.948604166664
FDE21,OUT035,1892.0661445161295
NCR42,OUT019,207.13050352504638
FDX51,OUT018,3011.5252991596626
NCR06,OUT018,646.088815789474
FDU31,OUT027,5041.821497446809
FDU59,OUT017,2633.839843902438
FDR03,OUT027,5041.821497446809
FDS49,OUT027,2846.4008225165553
FDD48,OUT010,207.13050352504638
NCF18,OUT017,3011.5252991596626
NCD43,OUT027,2846.4008225165553
NCD54,OUT018,2117.451380327869
FDY19,OUT010,207.13050352504638
NCY54,OUT017,2843.569789215686
NCL19,OUT018,2432.6625807321775
FDP23,OUT010,471.3068466911763
FDC26,OUT013,1673.9839872860641
FDR14,OUT010,207.13050352504638
NCS41,OUT035,3190.643467582416
FDF41,OUT035,3549.850947508307
FDU34,OUT046,2117.451380327869
DRH11,OUT046,1068.5067658349315
FDM03,OUT013,1673.9839872860641
FDS31,OUT017,3190.643467582416
FDJ20,OUT017,2117.451380327869
FDV44,OUT027,5041.821497446809
FDG02,OUT049,3190.643467582416
FDA09,OUT013,2843.569789215686
FDT04,OUT013,646.088815789474
FDL58,OUT019,471.3068466911763
