Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1848.5360478332045
FDW14,OUT017,1472.8167043467597
NCN55,OUT010,1875.6528589428954
FDQ58,OUT017,2593.644690497182
FDY38,OUT027,5181.558341361708
FDH56,OUT046,1929.544141682652
FDL48,OUT018,599.5592527786758
FDC48,OUT027,2785.3745282492578
FDN33,OUT045,1511.6729585743806
FDA36,OUT017,3092.932939619685
FDT44,OUT017,1990.652254842796
FDQ56,OUT045,1310.7967501522803
NCC54,OUT019,1850.420470172448
FDU11,OUT049,2056.455326474127
DRL59,OUT013,863.1820557160017
FDM24,OUT049,2560.9554667923817
FDI57,OUT045,3082.654063765335
DRC12,OUT018,2761.7726897086272
NCM42,OUT027,3198.637824504157
FDA46,OUT010,1127.5311707592336
FDA31,OUT013,2802.4651769243046
NCJ31,OUT035,3868.4401089614016
FDG52,OUT046,772.028977436151
NCL19,OUT019,368.8062044770181
FDS10,OUT035,3021.1603000675873
FDX22,OUT010,1470.387073397048
NCF19,OUT035,925.634634087568
NCE06,OUT046,2538.183222760433
DRC27,OUT046,3849.8267853622315
FDE21,OUT035,2000.1983604149596
NCR42,OUT019,-1358.4488756681403
FDX51,OUT018,2876.7452458038206
NCR06,OUT018,433.68143720514377
FDU31,OUT027,4953.875894249832
FDU59,OUT017,2713.040766777568
FDR03,OUT027,4762.00632080397
FDS49,OUT027,2755.2540326824715
FDD48,OUT010,-65.53169856750492
NCF18,OUT017,3113.6486471357966
NCD43,OUT027,3104.4643233114234
NCD54,OUT018,1992.435262473642
FDY19,OUT010,-65.81468751895068
NCY54,OUT017,2808.8790343316273
NCL19,OUT018,2022.690178315701
FDP23,OUT010,1539.08155682685
FDC26,OUT013,1818.5202771082659
FDR14,OUT010,-1044.991023159869
NCS41,OUT035,3030.270183727035
FDF41,OUT035,4044.523244064851
FDU34,OUT046,1996.7803865483543
DRH11,OUT046,930.5954574331383
FDM03,OUT013,1732.6542618981318
FDS31,OUT017,3030.857134960186
FDJ20,OUT017,2096.2864159704013
FDV44,OUT027,4497.7642637315785
FDG02,OUT049,3114.131068251986
FDA09,OUT013,2949.950556137349
FDT04,OUT013,642.2535009714717
FDL58,OUT019,2291.6205244411144
FDE52,OUT045,1450.880055078531
FDW12,OUT035,2514.140923824873
FDL51,OUT017,3553.635466079018
NCY42,OUT027,3695.0472364586967
FDR07,OUT017,1660.6567672186757
FDN40,OUT045,2364.062163686269
FDB35,OUT027,2960.5725746565
FDA22,OUT017,2787.4059721580174
NCL06,OUT046,4112.721823910695
FDI35,OUT013,2916.7713787941925
NCW42,OUT045,3409.6539436816256
NCX06,OUT049,2943.1713043757186
FDC37,OUT027,3202.2778208844466
FDZ14,OUT018,1741.122260815309
DRG49,OUT049,3956.8585892299375
NCG06,OUT045,3958.111783789474
DRC36,OUT045,2726.5738331328666
FDV21,OUT019,42.097955950634855
FDB53,OUT046,2349.160465995809
DRP47,OUT019,2024.8696995514024
FDA14,OUT013,2316.8817462757333
DRC24,OUT035,2571.2093652989147
FDW21,OUT018,1417.1044581295744
NCH29,OUT046,1560.0106086231235
FDU58,OUT013,3085.3484065828843
FDY27,OUT017,2940.632389904625
FDV56,OUT035,1958.1717022880794
FDT59,OUT046,3631.097720271682
FDB23,OUT046,3627.408129815179
FDR49,OUT045,690.2420951205213
FDB03,OUT010,1905.1618086022409
FDN39,OUT045,2631.2901356564084
FDX02,OUT027,4982.915981342167
FDQ16,OUT027,3193.318575001951
FDU35,OUT018,1330.8121669161096
NCT29,OUT013,1962.6500495547875
FDZ27,OUT046,826.3286926993705
FDN57,OUT017,2347.9667557114876
FDA03,OUT018,2096.9557241717175
FDZ36,OUT045,2929.036389881668
NCU05,OUT013,1327.315511296484
FDT39,OUT018,2200.9153356935144
FDK60,OUT017,1709.724101438789
FDZ25,OUT017,2851.6356891703836
FDG12,OUT046,1921.1484328138163
DRB01,OUT019,1156.4144273112804
NCC43,OUT027,5370.969233177315
FDX13,OUT019,2032.8488671200162
FDM22,OUT049,1034.554958935672
FDJ03,OUT027,2312.4998181954847
FDU14,OUT018,3686.5884739630355
FDB33,OUT010,638.299619572373
FDP27,OUT046,3011.801041344604
FDO38,OUT010,-671.8269488729848
FDE28,OUT027,5143.842335102432
FDO27,OUT035,1702.023841469678
DRL23,OUT027,3172.6516054977023
FDS28,OUT046,972.9815174759083
FDX24,OUT013,1548.392447337474
FDZ02,OUT035,1760.1888985822493
FDL46,OUT045,1809.4857796140172
FDS60,OUT027,4300.15857374255
NCO06,OUT017,632.554499016301
FDO16,OUT035,1540.2798385701608
FDC60,OUT049,1550.648428680018
FDA48,OUT018,3194.7317792296553
FDZ36,OUT027,4474.189522190756
FDK27,OUT045,1886.7093912348764
FDW23,OUT018,386.87608124555186
FDM14,OUT018,1512.547816170087
FDM14,OUT013,1789.340240896599
FDW60,OUT018,2614.5060459856327
FDE21,OUT013,1914.8824502926577
NCM42,OUT035,1892.7877819273094
FDY59,OUT010,-377.1085650390901
DRI49,OUT049,1367.8720651114822
FDT28,OUT019,510.30131131942426
FDQ22,OUT018,408.4863118063429
FDR60,OUT049,1297.2782000568798
FDC50,OUT019,-438.58542015039774
FDV24,OUT013,2444.4469249411277
DRF48,OUT010,1091.5943474679138
FDQ47,OUT046,646.0280524789066
DRN36,OUT049,1705.0839168080602
NCY06,OUT035,2176.2186750550145
FDE52,OUT035,1654.5935900691413
NCB54,OUT045,1944.4388450241704
NCF31,OUT035,2556.015323690318
FDJ08,OUT027,4447.756983853926
NCC07,OUT017,1794.3470621631031
NCD19,OUT027,2333.255350124847
FDL46,OUT049,2023.4975783047907
FDM20,OUT045,3830.9354821734814
NCI06,OUT010,930.2503075261052
DRM11,OUT035,4223.719014235676
NCH07,OUT018,2212.0868291392003
FDS23,OUT013,2086.571353327526
FDO49,OUT018,604.1239599507929
FDS35,OUT049,1161.085377445285
DRK39,OUT045,1265.1815012540344
DRI39,OUT049,1036.2369177412932
FDV04,OUT017,2643.56092157266
NCN14,OUT035,3004.0124521951057
FDH08,OUT013,3703.0333483259765
FDS20,OUT046,2912.8592649650614
FDV40,OUT049,1343.4237503007323
FDZ48,OUT010,-147.08502781339052
FDS24,OUT027,2917.2958615489047
FDK44,OUT049,2850.4134262937114
FDS48,OUT045,2350.517097664416
FDK26,OUT010,1115.3859647692561
FDD23,OUT045,2976.8495539494043
NCH54,OUT017,2614.534515148494
NCP14,OUT010,-250.08367988548423
FDM60,OUT010,-1190.3910668584756
FDV24,OUT017,2509.5671026686036
FDH08,OUT018,3360.9036212134934
FDS12,OUT027,3461.7370173498493
FDR39,OUT027,4313.519480155361
FDP12,OUT027,2128.1532778601095
DRF60,OUT027,5173.704638889574
FDC09,OUT035,1857.7831813239873
FDF50,OUT018,2908.985316864553
FDG28,OUT035,4050.4261594253926
NCE19,OUT017,992.1606119889661
NCM53,OUT010,-199.9285314475793
NCN18,OUT049,1877.4794434677096
FDF32,OUT035,3299.133200142696
FDF11,OUT013,3876.3880601360383
DRI59,OUT049,3652.313143231895
NCG54,OUT035,2808.7618563702067
FDM44,OUT046,1647.9667580549853
FDT57,OUT018,3471.4456665316807
FDV24,OUT046,2404.5881279238433
FDI50,OUT019,1763.8153769142186
FDS09,OUT035,1043.2673465588812
NCC31,OUT027,3899.722107981726
FDQ07,OUT019,1596.8189250288528
FDC22,OUT017,3174.8648391780985
FDZ56,OUT046,2704.36271621025
FDZ40,OUT019,-991.324049848995
FDS46,OUT027,3401.36024142664
DRD24,OUT045,2170.6741918427656
FDV45,OUT017,3109.811900615389
FDL26,OUT045,2409.3035129128366
FDA56,OUT018,1717.488898084342
FDN27,OUT046,1901.5819340711755
FDM20,OUT049,3978.618876418173
FDO16,OUT017,1471.552314751502
FDL03,OUT035,3300.0943131362515
FDE58,OUT046,1880.942045745992
FDI02,OUT027,3285.0970623132375
NCC55,OUT019,-1296.3257265818438
FDR03,OUT018,3046.0682082148032
FDB14,OUT017,1633.3620079577836
FDR45,OUT013,3820.345742282389
NCN07,OUT017,2164.17293208786
FDM51,OUT019,-186.76207275788823
FDT52,OUT027,5369.580129555134
FDL26,OUT046,2454.739112362932
NCZ42,OUT046,3766.061910512832
DRI47,OUT019,427.2555905993447
FDW40,OUT013,2318.8287321436487
FDN34,OUT046,2755.5577950967872
FDS01,OUT035,2994.121459203322
NCG55,OUT045,1776.765176624514
FDC11,OUT035,1536.317267349253
FDX35,OUT018,3350.903926723277
NCB06,OUT046,2518.6643654632894
FDR09,OUT019,2192.393036277171
FDC53,OUT017,1691.1661000777567
FDY45,OUT013,4077.9996614402557
FDA22,OUT010,756.1188218472734
FDE02,OUT035,1671.6783076598638
FDW21,OUT045,1627.3239863213257
FDV34,OUT046,1267.6932546059156
FDS59,OUT049,1906.027544864538
NCW17,OUT017,2135.820644464629
NCK54,OUT046,1866.33683345698
FDG17,OUT019,2016.4512629722135
FDG35,OUT017,2915.976465761604
FDD08,OUT010,-1251.7585430923634
NCO07,OUT017,3438.9969553542287
FDJ10,OUT010,266.4598569755293
FDW36,OUT017,1785.7642867772126
FDW21,OUT010,-204.07306206965086
FDY19,OUT017,2003.1094449728212
DRE03,OUT013,813.5358507019284
NCC55,OUT049,724.9856979270123
FDH52,OUT010,-810.9059067177361
FDO09,OUT017,4307.020113359045
FDU43,OUT045,3759.5236048618053
FDX09,OUT010,866.4774655658052
FDH40,OUT019,-512.8501986435851
FDW58,OUT017,1801.620503519971
FDC47,OUT017,3680.9830113057888
NCR41,OUT035,1626.0832752405952
DRG49,OUT035,3995.7995148198347
FDC52,OUT027,3940.4172454952554
FDY13,OUT046,1231.1076380911472
FDY35,OUT013,832.9388831649037
FDI35,OUT017,2997.569507366327
NCU18,OUT049,2331.1520699474418
FDY33,OUT018,2284.2952193320775
FDC15,OUT027,3925.545465370424
FDU01,OUT049,3119.2708010795254
NCU42,OUT046,2685.249706568102
NCV29,OUT018,2533.081540330346
NCY30,OUT017,2987.99978174257
FDQ46,OUT049,1893.4788040832782
FDG58,OUT027,3940.2798724682602
FDK33,OUT017,3494.452866208726
NCD07,OUT045,1767.107170386027
NCX29,OUT027,3720.187186009935
NCT42,OUT013,2386.019313678396
DRN59,OUT035,899.6593800256876
FDI44,OUT035,1421.1415408566918
FDA45,OUT049,2897.6693846803087
FDP31,OUT045,1024.2999455457611
FDY01,OUT046,1865.265465082577
FDT09,OUT018,1910.2601720043067
DRH03,OUT027,2986.2637010007165
FDA36,OUT018,2710.39509755036
NCF31,OUT017,2527.665185903352
FDG14,OUT049,2562.927509660418
FDG28,OUT027,5378.3501397687
FDU14,OUT049,4055.619173987969
FDY47,OUT019,246.9267645460078
FDI56,OUT049,1558.6153379231005
DRD01,OUT013,997.6782148641673
FDM22,OUT046,977.7787573985161
FDH33,OUT013,730.401261814476
DRZ24,OUT013,1913.120354128098
NCQ38,OUT046,1682.3915491846633
FDO16,OUT027,2831.7360759936146
FDU07,OUT027,3832.4935950779677
NCB07,OUT013,3080.455591513699
FDU48,OUT045,2046.1067495312113
NCM43,OUT045,2544.4944547286323
FDR31,OUT010,444.814829363448
DRK49,OUT018,414.04783500362373
NCI30,OUT010,1919.2165913503804
DRD60,OUT017,2970.6419417748516
NCG19,OUT046,3663.233165590821
FDH12,OUT035,1803.882850416215
FDM32,OUT035,1639.710256854409
FDM27,OUT035,2649.2461211557015
NCU53,OUT027,4079.7807512733402
NCQ18,OUT046,1551.3019553608883
FDS10,OUT013,2882.475170775756
FDB33,OUT027,3973.653354201558
FDI12,OUT013,1462.8149219061836
NCW42,OUT013,3505.81632455114
NCC06,OUT018,1764.910527520693
FDW02,OUT017,2179.6087729773003
NCD43,OUT017,1774.996355046872
FDM57,OUT018,1117.541055426443
FDA58,OUT017,3838.573372324691
FDK56,OUT046,2922.7070677558745
FDP52,OUT045,3649.2652770166374
FDW20,OUT018,1690.5522927106083
FDS52,OUT049,1739.9740775408857
NCT29,OUT018,1620.450317899343
NCL54,OUT013,2804.144110504725
FDC05,OUT045,3110.105652258163
FDF34,OUT035,3328.459758008275
FDP03,OUT027,3491.3984878346696
FDD32,OUT010,-509.1631678027348
FDZ10,OUT045,1991.6773474375273
FDZ40,OUT035,1056.2671898757324
FDD51,OUT018,449.24188621443216
NCY30,OUT019,942.7393503318867
FDP58,OUT017,3503.209486453108
FDV49,OUT017,4288.8435812137905
FDY24,OUT019,-1019.5582599518293
NCO55,OUT017,1794.7221398535737
FDR13,OUT017,2035.9926046722435
FDS51,OUT017,1138.1262386548915
