Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1655.7264208036272
FDW14,OUT017,1360.092932354802
NCN55,OUT010,596.7056215469279
FDQ58,OUT017,2465.4405942933695
FDY38,OUT027,6218.601111344145
FDH56,OUT046,1929.660721354717
FDL48,OUT018,753.0843620058836
FDC48,OUT027,2134.7809952911093
FDN33,OUT045,1538.0779125765703
FDA36,OUT017,3096.0693999924024
FDT44,OUT017,1956.0489089823986
FDQ56,OUT045,1351.7495296147756
NCC54,OUT019,583.5811482983576
FDU11,OUT049,2027.4374035470444
DRL59,OUT013,782.7374763507854
FDM24,OUT049,2452.4735832098986
FDI57,OUT045,3025.1086124653852
DRC12,OUT018,2922.8348130532463
NCM42,OUT027,2919.1407894853783
FDA46,OUT010,488.38502422598503
FDA31,OUT013,2874.258075676984
NCJ31,OUT035,3835.3963035970587
FDG52,OUT046,771.0095524867778
NCL19,OUT019,304.71232236875306
FDS10,OUT035,3028.9011396056762
FDX22,OUT010,568.5888738591432
NCF19,OUT035,772.9410988559767
NCE06,OUT046,2529.183695273882
DRC27,OUT046,3915.567854018422
FDE21,OUT035,1952.4521037727636
NCR42,OUT019,91.85143686908583
FDX51,OUT018,2967.0264110508438
NCR06,OUT018,610.7829421645865
FDU31,OUT027,5554.916545354649
FDU59,OUT017,2544.2428537692
FDR03,OUT027,5535.637569365697
FDS49,OUT027,2144.6180586485207
FDD48,OUT010,259.3851099542019
NCF18,OUT017,3038.54467683959
NCD43,OUT027,2587.032541297583
NCD54,OUT018,2070.9518498349044
FDY19,OUT010,261.1640702739536
NCY54,OUT017,2877.9075406936695
NCL19,OUT018,2398.545603443238
FDP23,OUT010,561.2509842401133
FDC26,OUT013,1719.600451209785
FDR14,OUT010,165.91710906244987
NCS41,OUT035,3130.223899908275
FDF41,OUT035,3892.8034051325167
FDU34,OUT046,2050.4118975650613
DRH11,OUT046,851.0613780491963
FDM03,OUT013,1647.0437282033295
FDS31,OUT017,3053.6823730984534
FDJ20,OUT017,2027.9150796288639
FDV44,OUT027,5067.129846323184
FDG02,OUT049,3135.4857867566457
FDA09,OUT013,3018.8927180251353
FDT04,OUT013,610.2229809150925
FDL58,OUT019,583.9709741814476
FDE52,OUT045,1390.9744475103266
FDW12,OUT035,2502.146537899442
FDL51,OUT017,3679.9946402495557
NCY42,OUT027,3378.2719795011253
FDR07,OUT017,1556.7149338487993
FDN40,OUT045,2453.8930931753616
FDB35,OUT027,2531.7076268071064
FDA22,OUT017,2546.617332547332
NCL06,OUT046,4117.37209329137
FDI35,OUT013,3048.302049112042
NCW42,OUT045,3766.943104061515
NCX06,OUT049,3042.128335979927
FDC37,OUT027,2591.319046050293
FDZ14,OUT018,1901.9185223425102
DRG49,OUT049,3931.3625384178786
NCG06,OUT045,4041.8936623533687
DRC36,OUT045,2871.802016737736
FDV21,OUT019,295.347859387545
FDB53,OUT046,2493.5947069060985
DRP47,OUT019,585.1772863988406
FDA14,OUT013,2490.7776605722097
DRC24,OUT035,2522.0616543355554
FDW21,OUT018,1592.790917313947
NCH29,OUT046,1559.2603217630553
FDU58,OUT013,3089.733750874515
FDY27,OUT017,2920.13254443491
FDV56,OUT035,1655.7264208036272
FDT59,OUT046,3866.3614953384954
FDB23,OUT046,3758.849391313971
FDR49,OUT045,769.6272739765147
FDB03,OUT010,599.398325655801
FDN39,OUT045,2651.522136016439
FDX02,OUT027,5762.780293127459
FDQ16,OUT027,2606.2503289060373
FDU35,OUT018,1545.2671851965904
NCT29,OUT013,2027.6508572171006
FDZ27,OUT046,769.4244989900511
FDN57,OUT017,2070.7442284574454
FDA03,OUT018,2394.5757586154486
FDZ36,OUT045,3076.2675924478694
NCU05,OUT013,1305.0639553716596
FDT39,OUT018,2352.0413411966506
FDK60,OUT017,1556.7149338487993
FDZ25,OUT017,2776.5485298149783
FDG12,OUT046,2053.7016602069343
DRB01,OUT019,493.6223111646587
NCC43,OUT027,6218.601111344145
FDX13,OUT019,580.6708212517576
FDM22,OUT049,816.5126201348653
FDJ03,OUT027,1260.5650788355683
FDU14,OUT018,3660.347313450382
FDB33,OUT010,377.67225845846355
FDP27,OUT046,3106.0889030286257
FDO38,OUT010,176.15727386161223
FDE28,OUT027,6218.601111344145
FDO27,OUT035,1538.0779125765703
